,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2016/12,2096,362.5,2140,1618,3590,3505,10735,3415,580,2177
MONTHLY(M),2017/01,1989,397,2250,1574,3855,3580,11225,3387,540,2115
MONTHLY(M),2017/02,2234,451,2290,1464,3730,4000,10665,3489,539,2194
MONTHLY(M),2017/03,2179,440,2630,1452,3370,3860,11185,3351,568,2181
MONTHLY(M),2017/04,2185,432.5,2560,1514,3315,3695,10825,3232,523,2205
MONTHLY(M),2017/05,2160,428,2560,1702,3125,3265,10855,3117,557,2189
MONTHLY(M),2017/06,2255,439.5,2507,1896,3400,3045,11470,3064,655,2198
MONTHLY(M),2017/07,2228,446,2477,1924,3710,3205,11700,3108,686,2183
MONTHLY(M),2017/08,2035,471,2430,2018,3945,3480,10995,3081,748,2220
MONTHLY(M),2017/09,2320,509,2512,2236,3890,3565,11395,3332,720,2166
MONTHLY(M),2017/10,2530,571,2572,2346,4290,3535,12470,3523,839,2137
MONTHLY(M),2017/11,2516,618.5,2587,2358,3750,3230,12920,3744,795,2147
MONTHLY(M),2017/12,2763,609.5,2619,2168,4010,3320,13335,3862,845,2176
MONTHLY(M),2018/01,2772,589.5,2550,2158,4045,3420,13095,3826,851,2128
MONTHLY(M),2018/02,2651,608.5,2578,2044,3370,3385,12650,3885,810,2169
MONTHLY(M),2018/03,2463,663.5,2557,1974,3200,3345,11735,3660,760,2099
MONTHLY(M),2018/04,2585,631.5,2725,2110,3340,3445,12805,3767,744,2178
MONTHLY(M),2018/05,2370,722.5,2639,1776,3025,3300,12580,3447,722,2172
MONTHLY(M),2018/06,2303,680.5,2533,1716,3045,3515,13270,3253,692,2203
MONTHLY(M),2018/07,2384,772,2376,1742,3170,3385,13320,3355,719,2140
MONTHLY(M),2018/08,2335,893,2459,1600,3005,3330,14170,3292,636,2115
MONTHLY(M),2018/09,2449,923,2557,1651,3395,3645,15125,3439,723,2087
MONTHLY(M),2018/10,2192,767.5,2442,1456,3130,3275,13125,3241,654,2004
MONTHLY(M),2018/11,2376,876.5,2514,1571,3185,3320,12610,3202,636,2149
MONTHLY(M),2018/12,2065,743,2286,1478,2895,3035,11695,2894.5,491,2085
MONTHLY(M),2019/01,2304,751,2239,1546,3110,2833,11765,3249,473,2021
